instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
Set_100_234/p4.4.n;45.0;100;4;523.0;0.0996
Set_100_234/p4.4.o;47.5;100;4;619.0;0.1004
Set_100_234/p4.4.p;50.0;100;4;645.0;0.1155
Set_100_234/p4.4.q;52.5;100;4;558.0;0.0995
Set_100_234/p4.4.r;55.0;100;4;599.0;0.1169
Set_66_234/p5.2.b;5.0;66;2;20.0;0.0
Set_66_234/p5.2.c;7.5;66;2;40.0;0.0026
Set_66_234/p5.2.d;10.0;66;2;70.0;0.0129
Set_66_234/p5.2.e;12.5;66;2;130.0;0.0
Set_66_234/p5.2.f;15.0;66;2;180.0;0.0214
Set_66_234/p5.2.g;17.5;66;2;240.0;0.0421
Set_66_234/p5.2.h;20.0;66;2;350.0;0.0409
Set_66_234/p5.2.i;22.5;66;2;410.0;0.033
Set_66_234/p5.2.j;25.0;66;2;490.0;0.039
Set_66_234/p5.2.k;27.5;66;2;540.0;0.0331
Set_66_234/p5.2.l;30.0;66;2;710.0;0.0355
Set_66_234/p5.2.m;32.5;66;2;780.0;0.0476
Set_66_234/p5.2.n;35.0;66;2;730.0;0.0488
Set_66_234/p5.2.o;37.5;66;2;695.0;0.0477
Set_66_234/p5.2.p;40.0;66;2;745.0;0.0496
Set_66_234/p5.2.q;42.5;66;2;820.0;0.1
Set_66_234/p5.2.r;45.0;66;2;865.0;0.0748
Set_66_234/p5.3.b;3.3;66;3;15.0;0.0111
Set_66_234/p5.3.c;5.0;66;3;20.0;0.0011
Set_66_234/p5.3.d;6.7;66;3;60.0;0.0162
Set_66_234/p5.3.e;8.3;66;3;90.0;0.0
Set_66_234/p5.3.f;10.0;66;3;105.0;0.0081
Set_66_234/p5.3.g;11.7;66;3;165.0;0.0162
Set_66_234/p5.3.h;13.3;66;3;240.0;0.0091
Set_66_234/p5.3.i;15.0;66;3;265.0;0.0333
Set_66_234/p5.3.j;16.7;66;3;315.0;0.0158
Set_66_234/p5.3.k;18.3;66;3;390.0;0.0325
Set_66_234/p5.3.l;20.0;66;3;525.0;0.0488
Set_66_234/p5.3.m;21.7;66;3;545.0;0.033
Set_66_234/p5.3.n;23.3;66;3;635.0;0.0382
Set_66_234/p5.3.o;25.0;66;3;720.0;0.0349
Set_66_234/p5.3.p;26.7;66;3;930.0;0.0499
Set_66_234/p5.3.q;28.3;66;3;900.0;0.0479
Set_66_234/p5.3.r;30.0;66;3;1005.0;0.0329
Set_66_234/p5.4.c;3.8;66;4;20.0;0.0
Set_66_234/p5.4.d;5.0;66;4;20.0;0.0
Set_66_234/p5.4.e;6.2;66;4;20.0;0.0169
Set_66_234/p5.4.f;7.5;66;4;80.0;0.0
Set_66_234/p5.4.g;8.8;66;4;135.0;0.0
